County,State,cases,deaths
Pepin,WI,1,0
Iron,WI,2,1
Green Lake,WI,20,0
Brown,WI,2319,37
Buffalo,WI,6,1
Burnett,WI,1,1
Calumet,WI,76,1
Chippewa,WI,56,0
Clark,WI,32,4
Columbia,WI,44,1
Crawford,WI,26,0
Dane,WI,733,29
Dodge,WI,221,2
Door,WI,38,3
Douglas,WI,19,0
Dunn,WI,24,0
Eau Claire,WI,108,0
Florence,WI,2,0
Fond du Lac,WI,213,5
Forest,WI,29,2
Grant,WI,95,12
Green,WI,66,0
Iowa,WI,16,0
Pierce,WI,45,0
Polk,WI,19,1
Portage,WI,11,0
Campbell,WY,31,0
Carbon,WY,16,1
Converse,WY,24,0
Crook,WY,5,0
Fremont,WY,278,7
Goshen,WY,5,0
Hot Springs,WY,13,0
Johnson,WY,18,1
Laramie,WY,188,2
Lincoln,WY,15,0
Natrona,WY,77,1
Niobrara,WY,2,0
Park,WY,2,0
Platte,WY,1,0
Sheridan,WY,16,0
Sublette,WY,3,0
Sweetwater,WY,30,0
Lawrence,MO,7,0
Uinta,WY,12,0
Big Horn,WY,6,0
Albany,WY,25,0
Wood,WI,10,1
Winnebago,WI,244,7
Price,WI,2,0
Racine,WI,1722,37
Richland,WI,14,4
Rock,WI,636,19
Rusk,WI,5,0
Sauk,WI,78,3
Sawyer,WI,8,0
Shawano,WI,47,0
Sheboygan,WI,90,3
Bayfield,WI,3,1
St. Croix,WI,86,0
Trempealeau,WI,25,0
Vernon,WI,21,0
Vilas,WI,7,0
Walworth,WI,395,17
Washburn,WI,2,0
Washington,WI,252,7
Waukesha,WI,696,30
Waupaca,WI,41,1
Waushara,WI,8,0
Taylor,WI,2,0
Barron,WI,17,0
Ashland,WI,2,0
Adams,WI,4,1
Pierce,WA,1953,79
San Juan,WA,15,0
Skagit,WA,434,15
Skamania,WA,3,0
Snohomish,WA,3349,147
Spokane,WA,600,32
Stevens,WA,11,1
Thurston,WA,154,2
Wahkiakum,WA,4,0
Walla Walla,WA,109,2
Whatcom,WA,396,36
Whitman,WA,20,0
Yakima,WA,3615,95
Barbour,WV,9,1
Berkeley,WV,308,6
Boone,WV,9,0
Braxton,WV,2,0
Brooke,WV,5,0
Cabell,WV,66,0
Pend Oreille,WA,3,0
Pacific,WA,9,1
Okanogan,WA,49,2
Mason,WA,36,1
Asotin,WA,19,2
Benton,WA,962,65
Chelan,WA,256,7
Clallam,WA,25,0
Clark,WA,551,25
Columbia,WA,1,0
Cowlitz,WA,73,0
Douglas,WA,172,3
Ferry,WA,1,0
Calhoun,WV,2,0
Franklin,WA,704,20
Grays Harbor,WA,17,0
Island,WA,180,11
Jefferson,WA,30,0
King,WA,8161,569
Kitsap,WA,161,2
Kittitas,WA,88,0
Klickitat,WA,25,3
Lewis,WA,37,3
Lincoln,WA,2,0
Grant,WA,255,3
York,VA,74,3
Clay,WV,4,0
Gilmer,WV,10,0
Pendleton,WV,12,0
Pleasants,WV,4,0
Pocahontas,WV,21,0
Preston,WV,25,1
Putnam,WV,34,0
Raleigh,WV,16,0
Randolph,WV,131,0
Ritchie,WV,1,0
Roane,WV,9,0
Summers,WV,1,0
Taylor,WV,8,0
Tucker,WV,4,0
Tyler,WV,3,0
Upshur,WV,7,0
Wayne,WV,99,9
Wetzel,WV,8,0
Wirt,WV,4,0
Wood,WV,53,2
Wyoming,WV,3,0
Ohio,WV,42,1
Nicholas,WV,8,1
Morgan,WV,18,0
Monroe,WV,7,0
Grant,WV,12,0
Greenbrier,WV,9,0
Hampshire,WV,29,1
Hancock,WV,18,0
Hardy,WV,39,0
Harrison,WV,41,1
Jackson,WV,137,18
Jefferson,WV,182,1
Kanawha,WV,229,18
Fayette,WV,48,4
Lewis,WV,9,1
Logan,WV,17,1
Marion,WV,51,2
Marshall,WV,30,0
